date,stock_id,type,value,origin_name
2019-03-31,6005,AccountsPayable_per,6.83,應付帳款
2019-03-31,6005,CapitalStock_per,18.02,股本合計
2019-03-31,6005,CashAndCashEquivalents_per,6.2,現金及約當現金
2019-03-31,6005,CurrentAssets_per,86.92,流動資產合計
2019-03-31,6005,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,24.9,透過損益按公允價值衡量之金融資產－流動
2019-03-31,6005,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss_per,0.92,透過損益按公允價值衡量之金融負債－流動
2019-03-31,6005,CurrentIncomeTaxAssets,26601000.0,本期所得稅資產
2019-03-31,6005,CurrentIncomeTaxAssets_per,0.02,本期所得稅資產
2019-03-31,6005,CurrentLiabilities_per,69.89,流動負債合計
2019-03-31,6005,CurrentProvisions,48486000.0,負債準備－流動
2019-03-31,6005,CurrentProvisions_per,0.04,負債準備－流動
2019-03-31,6005,DeferredTaxAssets,162403000.0,遞延所得稅資產
2019-03-31,6005,DeferredTaxAssets_per,0.13,遞延所得稅資產
2019-03-31,6005,Equity_per,28.25,權益總計
2019-03-31,6005,EquivalentIssueSharesOfAdvanceReceiptsForOrdinaryShare,0.0,預收股款（權益項下）之約當發行股數
2019-03-31,6005,IntangibleAssets_per,2.81,無形資產
2019-03-31,6005,LegalReserve_per,1.18,法定盈餘公積
2019-03-31,6005,NoncontrollingInterests_per,1.79,非控制權益
2019-03-31,6005,NoncurrentAssets_per,13.08,非流動資產合計
2019-03-31,6005,NoncurrentLiabilities_per,1.87,非流動負債合計
2019-03-31,6005,NumberOfSharesInEntityHeldByEntityAndByItsSubsidiaries,0.0,母公司暨子公司所持有之母公司庫藏股股數
2019-03-31,6005,OrdinaryShare_per,18.02,普通股股本
2019-03-31,6005,OtherCurrentAssets_per,0.92,其他流動資產
2019-03-31,6005,OtherCurrentLiabilities,12235000.0,其他流動負債
2019-03-31,6005,OtherCurrentLiabilities_per,0.01,其他流動負債
2019-03-31,6005,OtherEquityInterest_per,0.94,其他權益合計
2019-03-31,6005,OtherNoncurrentLiabilities,687149000.0,其他非流動負債
2019-03-31,6005,OtherNoncurrentLiabilities_per,0.53,其他非流動負債
2019-03-31,6005,OtherPayables,570740000.0,其他應付款
2019-03-31,6005,OtherPayables_per,0.44,其他應付款
2019-03-31,6005,ShorttermBorrowings_per,3.15,短期借款
2019-03-31,6005,TotalAssets_per,100.0,資產總計
2019-03-31,6005,TotalLiabilitiesEquity_per,100.0,負債及權益總計
2019-03-31,6005,UnappropriatedRetainedEarningsAaccumulatedDeficit,1974350000.0,未分配盈餘
2019-03-31,6005,UnappropriatedRetainedEarningsAaccumulatedDeficit_per,2.0,未分配盈餘
2019-03-31,6005,CashAndCashEquivalents,7984738000.0,現金及約當現金
2019-03-31,6005,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss,32064287000.0,透過損益按公允價值衡量之金融資產－流動
2019-03-31,6005,FinancialAssetsAtFairvalueThroughOtherComprehensiveIncome,13585956000.0,透過其他綜合損益按公允價值衡量之金融資產－流動
2019-03-31,6005,FinancialAssetsAtFairvalueThroughOtherComprehensiveIncome_per,10.55,透過其他綜合損益按公允價值衡量之金融資產－流動
2019-03-31,6005,Prepayments,23764000.0,預付款項
2019-03-31,6005,Prepayments_per,0.02,預付款項
2019-03-31,6005,OtherCurrentAssets,1183058000.0,其他流動資產
2019-03-31,6005,CurrentAssets,111936317000.0,流動資產合計
2019-03-31,6005,IntangibleAssets,3619091000.0,無形資產
2019-03-31,6005,NoncurrentAssets,16838662000.0,非流動資產合計
2019-03-31,6005,TotalAssets,128774979000.0,資產總計
2019-03-31,6005,ShorttermBorrowings,4057799000.0,短期借款
2019-03-31,6005,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss,1183694000.0,透過損益按公允價值衡量之金融負債－流動
2019-03-31,6005,AccountsPayable,8791706000.0,應付帳款
2019-03-31,6005,CurrentLiabilities,89998075000.0,流動負債合計
2019-03-31,6005,NoncurrentLiabilities,2404318000.0,非流動負債合計
2019-03-31,6005,OrdinaryShare,23209081000.0,普通股股本
2019-03-31,6005,CapitalStock,23209081000.0,股本合計
2019-03-31,6005,LegalReserve,1519635000.0,法定盈餘公積
2019-03-31,6005,OtherEquityInterest,1209485000.0,其他權益合計
2019-03-31,6005,NoncontrollingInterests,2304925000.0,非控制權益
2019-03-31,6005,Equity,36372586000.0,權益總計
2019-03-31,6005,TotalLiabilitiesEquity,128774979000.0,負債及權益總計
2019-06-30,6005,AccountsPayable,6445100000.0,應付帳款
2019-06-30,6005,AccountsPayable_per,5.06,應付帳款
2019-06-30,6005,CapitalStock_per,18.24,股本合計
2019-06-30,6005,CashAndCashEquivalents_per,6.38,現金及約當現金
2019-06-30,6005,CurrentAssets_per,86.69,流動資產合計
2019-06-30,6005,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,24.82,透過損益按公允價值衡量之金融資產－流動
2019-06-30,6005,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss,828378000.0,透過損益按公允價值衡量之金融負債－流動
2019-06-30,6005,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss_per,0.65,透過損益按公允價值衡量之金融負債－流動
2019-06-30,6005,CurrentIncomeTaxAssets,26597000.0,本期所得稅資產
2019-06-30,6005,CurrentIncomeTaxAssets_per,0.02,本期所得稅資產
2019-06-30,6005,CurrentLiabilities_per,69.9,流動負債合計
2019-06-30,6005,CurrentProvisions,59301000.0,負債準備－流動
2019-06-30,6005,CurrentProvisions_per,0.05,負債準備－流動
2019-06-30,6005,DeferredTaxAssets,170514000.0,遞延所得稅資產
2019-06-30,6005,DeferredTaxAssets_per,0.13,遞延所得稅資產
2019-06-30,6005,Equity_per,28.26,權益總計
2019-06-30,6005,EquivalentIssueSharesOfAdvanceReceiptsForOrdinaryShare,0.0,預收股款（權益項下）之約當發行股數
2019-06-30,6005,IntangibleAssets_per,2.84,無形資產
2019-06-30,6005,LegalReserve,1658360000.0,法定盈餘公積
2019-06-30,6005,LegalReserve_per,1.3,法定盈餘公積
2019-06-30,6005,Liabilities,91304900000.0,負債總額
