date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2019-09-02,9105,2.37,2.3,0.06,息,2.53,2.07,2.3,2.3
2020-03-20,9105,2.21,2.18,0.03,息,2.39,1.97,2.18,2.18
2020-08-31,9105,4.44,4.42,0.02,息,4.86,3.98,4.42,4.42
2021-03-22,9105,4.2,3.86,0.33,權息,4.24,3.48,3.86,3.86
2021-08-27,9105,4.44,4.42,0.02,息,4.86,3.98,4.42,4.42
2022-03-17,9105,4.64,4.27,0.36,權息,4.69,3.85,4.27,4.27
2022-08-24,9105,3.8,3.78,0.02,息,4.15,3.41,3.78,3.78
2023-03-17,9105,4.01,3.69,0.32,權息,4.05,3.33,3.69,3.69
2023-08-29,9105,3.93,3.89,0.04,息,4.27,3.51,3.89,3.89
2023-10-06,9105,4.09,2.91,1.18,權,4.49,2.62,4.09,4.09
2024-03-19,9105,3.72,3.65,0.07,息,4.01,3.29,3.65,3.65
