"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="0050","元大台灣50","市","04/10","","163","-0.25","-0.15","5,731","934","163.25","162.75","163.3","162.45","0.52","","","    ","    ","    ","    ","    "
="0051","元大中型100","市","04/10","","79.5","+0.05","+0.06","59","4.73","79.45","80","80","79.5","0.63","","","    ","    ","    ","    ","    "
="0052","富邦科技","市","04/10","","165.35","-0.15","-0.09","567","93.7","165.5","166","166","164.55","0.88","","","    ","    ","    ","    ","    "
="0053","元大電子","市","04/10","","88.55","-0.1","-0.11","33","2.91","88.65","88.5","88.55","88.1","0.51","","","    ","    ","    ","    ","    "
="0055","元大MSCI金融","市","04/10","","25.38","-0.01","-0.04","3,354","85.3","25.39","25.39","25.5","25.36","0.55","","","    ","    ","    ","    ","    "
="0056","元大高股息","市","04/10","","40.2","+0.21","+0.53","21,484","864","39.99","40.12","40.35","40.11","0.6","","","    ","    ","    ","    ","    "
="0057","富邦摩台","市","04/10","","120.2","+0.15","+0.12","8","0.96","120.05","120.2","120.2","120.2","0","","","    ","    ","    ","    ","    "
="0061","元大寶滬深","市","04/10","","16.77","-0.17","-1","493","8.31","16.94","16.95","16.96","16.77","1.12","","","    ","    ","    ","    ","    "
="006203","元大MSCI台灣","市","04/10","","77.6","+0.1","+0.13","5","0.38","77.5","77.3","77.6","77.3","0.39","","","    ","    ","    ","    ","    "
="006204","永豐臺灣加權","市","04/10","","103.6","-0.1","-0.1","8","0.79","103.7","103.45","103.7","103.45","0.24","","","    ","    ","    ","    ","    "
="006205","富邦上証","市","04/10","","29.16","-0.1","-0.34","916","26.7","29.26","29.26","29.37","29.13","0.82","","","    ","    ","    ","    ","    "
="006206","元大上證50","市","04/10","","27.9","-0.04","-0.14","142","3.97","27.94","27.92","28.05","27.84","0.75","","","    ","    ","    ","    ","    "
="006207","復華滬深","市","04/10","","22.05","-0.11","-0.5","327","7.22","22.16","22.2","22.2","22.04","0.72","","","    ","    ","    ","    ","    "
="006208","富邦台50","市","04/10","","95.35","-0.1","-0.1","3,423","326","95.45","95.45","95.5","95","0.52","","","    ","    ","    ","    ","    "
"00625K","富邦上証+R","市","04/10","","6.64","0","0","0","0","6.71","6.64","6.64","6.64","0","","","    ","    ","    ","    ","    "
