date,stock_id,type,value,origin_name
2024/3/18,xxx,PropertyAndPlantAndEquipment,0,
2024/3/18,xxx,CashBalancesEndOfPeriod,0,
2024/3/18,xxx,CashBalancesIncrease,0,
2024/3/18,xxx,CashProvidedByInvestingActivities,0,
2024/3/18,xxx,CashBalancesBeginningOfPeriod,0,
2024/3/18,xxx,RentalPrincipalRepayments,0,
2024/3/18,xxx,PayTheInterest,0,
2024/3/18,xxx,IncomeBeforeIncomeTaxFromContinuingOperations,0,
2024/3/18,xxx,ProceedsFromLongTermDebt,0,
2024/3/18,xxx,NetIncomeBeforeTax,0,
2024/3/18,xxx,Depreciation,0,
2024/3/18,xxx,AmortizationExpense,0,
2024/3/18,xxx,AccountsPayable,0,
2024/3/18,xxx,DecreaseInDepositDeposit,0,
2024/3/18,xxx,RepaymentOfLongTermDebt,0,
2024/3/18,xxx,InterestExpense,0,
2024/3/18,xxx,CashFlowsProvidedFromFinancingActivities,0,
2024/3/18,xxx,InterestIncome,0,
2024/3/18,xxx,DecreaseInShortTermLoans,0,
2024/3/18,xxx,TotalIncomeLossItems,0,
2024/3/18,xxx,CashReceivedThroughOperations,0,
2024/3/18,xxx,OtherNonCurrentLiabilitiesIncrease,0,
2024/3/18,xxx,CashFlowsFromOperatingActivities,0,
2024/3/18,xxx,ReceivableIncrease,0,
2024/3/18,xxx,InventoryIncrease,0,
