date,stock_id,type,value,origin_name
2024/3/18,xxx,IncomeBeforeIncomeTax,0,
2024/3/18,xxx,NetIncome,0,
2024/3/18,xxx,OperatingExpenses,0,
2024/3/18,xxx,TAX,0,
2024/3/18,xxx,EPS,0,
2024/3/18,xxx,PreTaxIncome,0,
2024/3/18,xxx,IncomeFromContinuingOperations,0,
2024/3/18,xxx,IncomeAfterTaxes,0,
2024/3/18,xxx,TotalConsolidatedProfitForThePeriod,0,
2024/3/18,xxx,Revenue,0,
2024/3/18,xxx,CostOfGoodsSold,0,
2024/3/18,xxx,RealizedGain,0,
2024/3/18,xxx,GrossProfit,0,
2024/3/18,xxx,OperatingIncome,0,
2024/3/18,xxx,TotalNonoperatingIncomeAndExpense,0,
2024/3/18,xxx,OtherComprehensiveIncome,0,
2024/3/18,xxx,EquityAttributableToOwnersOfParent,0,
2024/3/18,xxx,NoncontrollingInterests,0,
